accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.8691666666666666,0.8691666666666666,0.8691666666666666,0.8691666666666666,0.8959397444433141,0.8691666666666666,0.8680761233477353,7,1,val
0.864,0.864,0.864,0.864,0.8927885685907302,0.8640000000000001,0.8605460228301087,7,1,test
0.9120833333333334,0.9120833333333334,0.9120833333333334,0.9120833333333334,0.920252156213646,0.9120833333333334,0.9118639346531578,7,2,train
0.8808333333333334,0.8808333333333334,0.8808333333333334,0.8808333333333334,0.8924734374014716,0.8808333333333334,0.8803279000194776,7,2,val
0.882,0.882,0.882,0.882,0.8942077667256288,0.882,0.8810165706590436,7,2,test
0.8914583333333334,0.8914583333333334,0.8914583333333334,0.8914583333333334,0.9115897378120256,0.8914583333333332,0.8907937896476842,7,3,train
0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.9080420466058764,0.8858333333333335,0.8850915286864897,7,3,val
0.8646666666666667,0.8646666666666667,0.8646666666666667,0.8646666666666667,0.8890763194539316,0.8646666666666667,0.863673875684758,7,3,test
0.9454166666666668,0.9454166666666668,0.9454166666666668,0.9454166666666668,0.947225638441528,0.9454166666666668,0.9453685890827992,7,4,train
0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9208841044360362,0.9183333333333332,0.9184665384063552,7,4,val
0.9126666666666666,0.9126666666666666,0.9126666666666666,0.9126666666666666,0.9144500870572648,0.9126666666666668,0.9125397187855168,7,4,test
0.9135416666666668,0.9135416666666668,0.9135416666666668,0.9135416666666668,0.9154779103389554,0.9135416666666668,0.9128909661424224,7,5,train
0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8956388448891494,0.8933333333333333,0.8925706091064252,7,5,val
0.8913333333333333,0.8913333333333333,0.8913333333333333,0.8913333333333333,0.8937375567825427,0.8913333333333334,0.8904170065871428,7,5,test
0.7020833333333333,0.7020833333333333,0.7020833333333333,0.7020833333333333,0.8121359804355777,0.7020833333333333,0.6872400866245911,8,1,train
0.6816666666666666,0.6816666666666666,0.6816666666666666,0.6816666666666666,0.7944830964234832,0.6816666666666666,0.6591556849120428,8,1,val
0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.8036696800597858,0.7033333333333334,0.6868737486452015,8,1,test
0.918125,0.918125,0.918125,0.918125,0.9256946773624852,0.918125,0.9179039445018616,8,2,train
0.8891666666666667,0.8891666666666667,0.8891666666666667,0.8891666666666667,0.899834434771134,0.8891666666666665,0.8882931068424458,8,2,val
0.8993333333333333,0.8993333333333333,0.8993333333333333,0.8993333333333333,0.9081966203177252,0.8993333333333334,0.8988245817325632,8,2,test
0.8927083333333333,0.8927083333333333,0.8927083333333333,0.8927083333333333,0.9106725283150072,0.8927083333333334,0.8920304966018069,8,3,train
0.8566666666666667,0.8566666666666667,0.8566666666666667,0.8566666666666667,0.878791442355352,0.8566666666666667,0.8536424258756824,8,3,val
0.8553333333333333,0.8553333333333333,0.8553333333333333,0.8553333333333333,0.8798015528744104,0.8553333333333333,0.8532841855968574,8,3,test
0.891875,0.891875,0.891875,0.891875,0.9030625985708288,0.891875,0.8921423220893541,8,4,train
0.87,0.87,0.87,0.87,0.8849507237379551,0.8699999999999999,0.8705051483702814,8,4,val
0.85,0.85,0.85,0.85,0.8687963179751386,0.85,0.8498311056316972,8,4,test
0.9202083333333332,0.9202083333333332,0.9202083333333332,0.9202083333333332,0.9274036251258836,0.9202083333333334,0.9206882892987448,8,5,train
0.8841666666666667,0.8841666666666667,0.8841666666666667,0.8841666666666667,0.8950396726039527,0.8841666666666667,0.8842403461917648,8,5,val
0.8986666666666666,0.8986666666666666,0.8986666666666666,0.8986666666666666,0.907701462954481,0.8986666666666668,0.8996202190365388,8,5,test
0.8175,0.8175,0.8175,0.8175,0.8497301722550713,0.8175000000000001,0.8100076910109237,9,1,train
0.8,0.8,0.8,0.8,0.8343512680739622,0.8,0.7946050312040875,9,1,val
